#{"t_start": 1621243511.455856, "env_id": "mario_puzzle-v0"}
r,l,t
-6.323278,99,82.416995
-10.36862,99,155.306772
-6.837055,99,225.710202
-5.027497,99,296.328656
-4.984602,99,372.748244
-3.391801,99,445.820724
-3.232873,99,513.479626
-3.652326,99,589.92041
-5.658335,99,659.124846
-1.519575,99,729.866726
-2.170505,99,801.58353
-2.253691,99,877.474583
-8.076897,99,947.804767
-8.655341,99,1019.685401
-4.551959,99,1085.55979
-3.526563,99,1155.355808
-6.028045,99,1222.375133
-5.470584,99,1289.490107
-6.897734,99,1360.731139
-3.182344,99,1426.630611
-5.045831,99,1489.921787
-6.409509,99,1559.273834
-3.998048,99,1628.356923
-4.812269,99,1699.503612
-3.01108,99,1767.505791
-3.80133,99,1835.843264
-2.050144,99,1905.327638
-4.399599,99,1977.831514
-10.174876,99,2040.449703
-6.048588,99,2113.440173
-2.762409,99,2180.10241
-4.083547,99,2248.396246
-4.11635,99,2320.846592
-1.393947,99,2391.212304
-7.341244,99,2464.949813
-5.918581,99,2534.380919
-1.347607,99,2597.001742
-2.918461,99,2666.088598
-1.547557,99,2735.713526
-6.541373,99,2799.490908
-4.352937,99,2863.141085
-3.864984,99,2924.429335
-5.445586,99,2989.678563
-3.273801,99,3057.889546
-3.04288,99,3122.060461
-6.618152,99,3189.041149
-4.999763,99,3254.149732
-5.926942,99,3321.25362
-4.247823,99,3385.405558
-3.453844,99,3449.114411
-5.292809,99,3517.968282
-4.219053,99,3579.795134
-3.860641,99,3640.633966
-4.387488,99,3705.825644
-3.864042,99,3767.738971
-3.697181,99,3827.454259
-1.218439,99,3889.746208
-2.833151,99,3953.795897
-4.277916,99,4020.194389
-2.089074,99,4085.805771
-1.798495,99,4150.684171
-3.566442,99,4211.430294
-5.748988,99,4272.525099
-4.720641,99,4332.880501
-2.011975,99,4399.502867
-1.904159,99,4459.39833
-2.304397,99,4521.231726
-1.189043,99,4578.287872
-1.298993,99,4642.350439
-5.573563,99,4703.603127
-4.206366,99,4767.942809
-0.784954,99,4831.095747
-3.770439,99,4895.511061
-2.831257,99,4955.592358
-1.829408,99,5018.211653
-1.751924,99,5081.662504
-2.866512,99,5145.629307
-1.50736,99,5209.736071
-2.206979,99,5270.191263
-3.938712,99,5331.480612
-9.49099,99,5392.721961
-1.420114,99,5452.140562
-3.770117,99,5513.210413
-3.224374,99,5574.650938
-3.937588,99,5632.270138
-0.793873,99,5691.768666
-3.401696,99,5754.488192
-2.693971,99,5813.580141
-4.191291,99,5872.426825
-3.855189,99,5932.05042
-2.079592,99,5992.183124
-1.308221,99,6052.672783
-2.605235,99,6110.537586
-2.644805,99,6167.203295
-1.185434,99,6228.088659
-1.966838,99,6281.29891
-2.593588,99,6341.228597
-2.702376,99,6401.687571
-2.180764,99,6459.807253
-0.906249,99,6518.718302
-1.32733,99,6581.829591
-2.693631,99,6643.03965
-1.642222,99,6701.166822
-0.303361,99,6761.916776
-1.220603,99,6821.108545
-2.388755,99,6879.518858
-1.543469,99,6938.284262
-4.133253,99,7001.332336
-0.535126,99,7059.330195
-1.540259,99,7118.969851
-1.807833,99,7177.136208
-0.903211,99,7233.17667
-1.351787,99,7289.167338
-0.843627,99,7347.041505
-1.807819,99,7403.938759
-0.387567,99,7459.606792
-1.021301,99,7518.599603
-1.565829,99,7575.179896
-3.581006,99,7629.963641
-1.377018,99,7685.504019
-2.265482,99,7741.127904
-2.36715,99,7801.482457
-1.43486,99,7859.744281
-0.954678,99,7913.87413
-2.865466,99,7970.378418
-1.843319,99,8027.523262
-1.256629,99,8086.124875
-1.65535,99,8142.204962
-2.506465,99,8196.902062
-1.190264,99,8256.865807
-0.200939,99,8313.769079
-0.757823,99,8372.749749
-0.332124,99,8430.051212
-1.402984,99,8484.839565
-0.920957,99,8540.101345
-0.810893,99,8594.013114
-1.850501,99,8650.388781
-0.488232,99,8708.574387
-1.059895,99,8761.984997
-1.310835,99,8820.023558
-1.966312,99,8875.724275
-1.008194,99,8935.485882
-0.803387,99,8991.563353
-0.302939,99,9046.823464
-0.480889,99,9104.418318
-0.939163,99,9161.651841
-0.075461,99,9217.545453
-0.050456,99,9272.210228
-1.240702,99,9330.081423
-1.930621,99,9387.882712
-1.513828,99,9443.023807
-0.394853,99,9502.810649
-2.649323,99,9557.948886
-0.510486,99,9613.94043
-3.005011,99,9672.940368
-1.063517,99,9729.955738
-0.381997,99,9789.74103
-0.274935,99,9844.826711
-0.060868,99,9900.374079
-0.516421,99,9957.075359
-0.346726,99,10013.146908
-0.54635,99,10068.101157
-1.013409,99,10122.290018
-0.341939,99,10177.796383
-0.116751,99,10233.803013
-0.526543,99,10287.848521
-1.033826,99,10344.053802
-0.529539,99,10399.102558
-0.402595,99,10457.017324
-1.020575,99,10511.752192
-1.414409,99,10568.279034
-0.428656,99,10627.717139
-0.261527,99,10683.222545
-0.460227,99,10739.15415
-0.591678,99,10796.458794
-0.348581,99,10851.167795
-0.276037,99,10907.697224
-0.130469,99,10963.337146
-2.626076,99,11017.330264
-0.105977,99,11071.36707
-0.350018,99,11127.978041
-0.584582,99,11182.455474
-0.219808,99,11238.366761
-1.41348,99,11297.926504
-0.168079,99,11354.924217
-0.339272,99,11407.483539
-0.162891,99,11463.346823
-0.066547,99,11518.616467
-0.770276,99,11572.906681
-0.386179,99,11628.445465
-0.253762,99,11683.463765
-0.341047,99,11736.834475
-0.406718,99,11792.90433
-0.539681,99,11847.11073
-0.087024,99,11899.620964
-0.706999,99,11956.233795
-0.247945,99,12010.07051
-0.253035,99,12067.49703
-0.515275,99,12124.30429
-1.031355,99,12177.984193
-0.233777,99,12234.962506
-0.035306,99,12287.506541
-0.790971,99,12340.619643
-0.332897,99,12396.502313
-0.557521,99,12451.379304
-0.054725,99,12507.961238
-0.142479,99,12563.671629
-0.192957,99,12618.884346
-1.052547,99,12671.808772
-1.237938,99,12725.198134
-0.080207,99,12779.143535
-0.292947,99,12834.486674
-0.54505,99,12889.320308
-0.517177,99,12944.899765
-0.150407,99,12998.622842
-0.111032,99,13051.932867
-0.37587,99,13105.553208
-0.59606,99,13162.187161
-0.241892,99,13217.074004
-0.942748,99,13272.579899
-0.141001,99,13330.233283
-0.219755,99,13387.122749
-0.707262,99,13438.747364
-0.41679,99,13498.2378
-0.269735,99,13553.340653
-0.520274,99,13605.925967
-0.202132,99,13658.605635
-0.21018,99,13716.113291
-0.185196,99,13768.07376
-0.062103,99,13823.348089
-0.297086,99,13876.891945
-0.012336,99,13930.994505
-0.064528,99,13985.508797
-0.429227,99,14039.728058
-0.185216,99,14092.088297
-0.084171,99,14171.599292
-0.134718,99,14337.048556
-0.205999,99,14524.42721
-0.321534,99,14698.364135
-0.285912,99,14865.203881
-0.171233,99,14990.111036
-0.113524,99,15172.111653
-0.12275,99,15236.664387
-0.547103,99,15345.676199
-0.593506,99,15492.925329
-0.24005,99,15603.417016
-0.032316,99,15748.233164
-0.079309,99,15924.554659
-0.714475,99,16108.441432
-0.234053,99,16291.36397
-0.40327,99,16483.822132
-0.155114,99,16675.209794
-0.049547,99,16865.216054
-0.364122,99,17055.067225
-0.111891,99,17175.057233
-0.048675,99,17369.587122
-0.062632,99,17554.155029
-0.04811,99,17750.031956
-0.080279,99,17931.607202
-0.643361,99,18047.206443
-0.259316,99,18229.633616
-0.54502,99,18411.849701
-0.283083,99,18593.533953
-0.090364,99,18776.600806
-0.144443,99,18920.998398
-1.209187,99,19157.992123
-0.123982,99,19506.820642
-0.100355,99,19846.4269
-0.112045,99,20175.985162
-0.364093,99,20514.196402
-0.113463,99,20853.519654
-0.066878,99,21210.421603
-0.120704,99,21554.739681
-0.259897,99,21896.151098
-0.189655,99,22242.909232
-0.08581,99,22587.750304
-0.024033,99,22926.282148
-0.243413,99,23262.402423
-0.10714,99,23611.543093
-0.168474,99,23956.260042
-0.035122,99,24283.620924
-0.065527,99,24631.548862
-0.46168,99,25034.702237
-0.227675,99,25356.046408
-0.148173,99,25646.767292
-0.151868,99,25974.65683
-0.456865,99,26271.713233
-0.216583,99,26561.321603
-0.203834,99,26800.775193
-0.187894,99,27024.986673
-0.039539,99,27257.834607
-0.133862,99,27491.491866
-0.829311,99,27707.396312
-0.062398,99,27902.824575
-0.183764,99,28100.497288
-0.284419,99,28292.691187
-0.191116,99,28484.165365
-0.199945,99,28670.994425
-0.054741,99,28817.596554
-0.35779,99,28869.814186
-0.067284,99,28924.551987
-0.203774,99,28978.175261
