timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,-6.071651300000001,-6.071651411381049,0.0,0.0,-6.071651411381049,0.0
4096,-6.046934,-6.046933973199995,0.0,0.0,-6.046933973199995,0.0
6144,-6.5138537,-6.513853691083159,0.0,0.0,-6.513853691083159,0.0
8192,-6.7567710000000005,-6.756771052319292,0.0,0.0,-6.756771052319292,0.0
10240,-5.2786392,-5.27863919940134,0.0,0.0,-5.27863919940134,0.0
12288,-4.5779821,-4.577982070721947,0.0,0.0,-4.577982070721947,0.0
14336,-6.604985999999999,-6.604985971605577,0.0,0.0,-6.604985971605577,0.0
16384,-6.0566776,-6.0566776153153254,0.0,0.0,-6.0566776153153254,0.0
18432,-4.9824988,-4.982498703510048,0.0,0.0,-4.982498703510048,0.0
20480,-4.9582938,-4.958293545564983,0.0,0.0,-4.958293545564983,0.0
22528,-5.9648519,-5.964851828283803,0.0,0.0,-5.964851828283803,0.0
24576,-6.1602372,-6.160237102769515,0.0,0.0,-6.160237102769515,0.0
26624,-5.444583799999999,-5.444583851948352,0.0,0.0,-5.444583851948352,0.0
28672,-5.9889017,-5.988901709767981,0.0,0.0,-5.988901709767981,0.0
30720,-5.1930983,-5.193098402324326,0.0,0.0,-5.193098402324326,0.0
32768,-5.6908626,-5.69086263543498,0.0,0.0,-5.69086263543498,0.0
34816,-5.1568768,-5.156876713161909,0.0,0.0,-5.156876713161909,0.0
36864,-4.3752407,-4.375240606720674,0.0,0.0,-4.375240606720674,0.0
38912,-5.090044799999999,-5.09004468832539,0.0,0.0,-5.09004468832539,0.0
40960,-3.9035911,-3.903591016246088,0.0,0.0,-3.903591016246088,0.0
43008,-3.671905700000001,-3.6719057606046186,0.0,0.0,-3.6719057606046186,0.0
45056,-4.8611648,-4.861164711170689,0.0,0.0,-4.861164711170689,0.0
47104,-4.4697984,-4.469798559304003,0.0,0.0,-4.469798559304003,0.0
49152,-4.0528132999999995,-4.052813276552154,0.0,0.0,-4.052813276552154,0.0
51200,-3.7264354000000006,-3.726435370609243,0.0,0.0,-3.726435370609243,0.0
53248,-4.206307499999999,-4.206307462031811,0.0,0.0,-4.206307462031811,0.0
55296,-3.498475,-3.498475011072941,0.0,0.0,-3.498475011072941,0.0
57344,-5.4221292000000005,-5.422129298922654,0.0,0.0,-5.422129298922654,0.0
59392,-3.1416537999999994,-3.141653820362669,0.0,0.0,-3.141653820362669,0.0
61440,-3.4661119,-3.466111734165529,0.0,0.0,-3.466111734165529,0.0
63488,-5.4825361,-5.482536076592124,0.0,0.0,-5.482536076592124,0.0
65536,-3.4613843,-3.4613843145885936,0.0,0.0,-3.4613843145885936,0.0
67584,-4.4741582,-4.4741583541995835,0.0,0.0,-4.4741583541995835,0.0
69632,-3.2439792999999995,-3.2439791971734153,0.0,0.0,-3.2439791971734153,0.0
71680,-3.2615507999999998,-3.2615506478768324,0.0,0.0,-3.2615506478768324,0.0
73728,-3.9033983,-3.903398077542667,0.0,0.0,-3.903398077542667,0.0
75776,-3.2754506,-3.2754505799732754,0.0,0.0,-3.2754505799732754,0.0
77824,-3.9953635000000007,-3.995363583636826,0.0,0.0,-3.995363583636826,0.0
79872,-4.2867591,-4.286759098093592,0.0,0.0,-4.286759098093592,0.0
81920,-4.297290500000001,-4.297290539068053,0.0,0.0,-4.297290539068053,0.0
83968,-4.161732300000001,-4.161732302889236,0.0,0.0,-4.161732302889236,0.0
86016,-4.4116546,-4.411654588451709,0.0,0.0,-4.411654588451709,0.0
88064,-3.354745499999999,-3.35474552751363,0.0,0.0,-3.35474552751363,0.0
90112,-3.7148049,-3.7148050896998916,0.0,0.0,-3.7148050896998916,0.0
92160,-3.2059449,-3.2059448942485353,0.0,0.0,-3.2059448942485353,0.0
94208,-3.0018764,-3.001876403922588,0.0,0.0,-3.001876403922588,0.0
96256,-3.498142,-3.4981418738255585,0.0,0.0,-3.4981418738255585,0.0
98304,-3.1474540999999996,-3.1474541452352915,0.0,0.0,-3.1474541452352915,0.0
100352,-3.7852601999999997,-3.785260025103608,0.0,0.0,-3.785260025103608,0.0
102400,-3.0390867,-3.039086564102378,0.0,0.0,-3.039086564102378,0.0
104448,-2.2707945,-2.270794372283665,0.0,0.0,-2.270794372283665,0.0
106496,-3.6388295,-3.6388295134596502,0.0,0.0,-3.6388295134596502,0.0
108544,-2.0948676,-2.0948675685854754,0.0,0.0,-2.0948675685854754,0.0
110592,-2.4001796,-2.400179707185391,0.0,0.0,-2.400179707185391,0.0
112640,-2.6188962,-2.618896233026393,0.0,0.0,-2.618896233026393,0.0
114688,-2.3991752999999996,-2.3991752559620094,0.0,0.0,-2.3991752559620094,0.0
116736,-2.7216079000000004,-2.7216078955303358,0.0,0.0,-2.7216078955303358,0.0
118784,-2.7186134,-2.7186133494181237,0.0,0.0,-2.7186133494181237,0.0
120832,-2.4887358,-2.4887359701095964,0.0,0.0,-2.4887359701095964,0.0
122880,-2.3455683,-2.345568250451995,0.0,0.0,-2.345568250451995,0.0
124928,-3.0687097,-3.068709883745528,0.0,0.0,-3.068709883745528,0.0
126976,-3.2720797,-3.272079659759543,0.0,0.0,-3.272079659759543,0.0
129024,-2.6642512,-2.6642512091854202,0.0,0.0,-2.6642512091854202,0.0
131072,-1.901767,-1.901767195516942,0.0,0.0,-1.901767195516942,0.0
133120,-2.170865,-2.170865050630838,0.0,0.0,-2.170865050630838,0.0
135168,-2.6721066999999996,-2.67210665442837,0.0,0.0,-2.67210665442837,0.0
137216,-2.4955238,-2.4955237560661376,0.0,0.0,-2.4955237560661376,0.0
139264,-2.6951803,-2.695180387551174,0.0,0.0,-2.695180387551174,0.0
141312,-2.9145369999999997,-2.9145371710602115,0.0,0.0,-2.9145371710602115,0.0
143360,-1.7160954999999998,-1.7160955324606089,0.0,0.0,-1.7160955324606089,0.0
145408,-2.0690483,-2.069048353412131,0.0,0.0,-2.069048353412131,0.0
147456,-2.3486077,-2.348607739685623,0.0,0.0,-2.348607739685623,0.0
149504,-2.0875904999999997,-2.087590593619082,0.0,0.0,-2.087590593619082,0.0
151552,-1.8730433999999998,-1.8730432544778643,0.0,0.0,-1.8730432544778643,0.0
153600,-1.7816294,-1.7816293500111162,0.0,0.0,-1.7816293500111162,0.0
155648,-2.3724782,-2.3724782129762416,0.0,0.0,-2.3724782129762416,0.0
157696,-1.6617178000000004,-1.661717883563788,0.0,0.0,-1.661717883563788,0.0
159744,-2.5142753,-2.51427519334806,0.0,0.0,-2.51427519334806,0.0
161792,-1.4227147999999998,-1.422714851855114,0.0,0.0,-1.422714851855114,0.0
163840,-1.5229048000000003,-1.5229049501853604,0.0,0.0,-1.5229049501853604,0.0
165888,-1.5743827000000001,-1.574382752076517,0.0,0.0,-1.574382752076517,0.0
167936,-1.9010667,-1.901066689992075,0.0,0.0,-1.901066689992075,0.0
169984,-1.8589859000000004,-1.8589859831528375,0.0,0.0,-1.8589859831528375,0.0
172032,-1.7269603,-1.726960278634224,0.0,0.0,-1.726960278634224,0.0
174080,-1.3338556,-1.3338556572477924,0.0,0.0,-1.3338556572477924,0.0
176128,-1.5244510000000002,-1.52445118991205,0.0,0.0,-1.52445118991205,0.0
178176,-1.1136556000000002,-1.1136553974084307,0.0,0.0,-1.1136553974084307,0.0
180224,-1.6812771000000002,-1.6812772614319003,0.0,0.0,-1.6812772614319003,0.0
182272,-1.8297184999999998,-1.8297185297735077,0.0,0.0,-1.8297185297735077,0.0
184320,-1.1791401000000001,-1.179140191841602,0.0,0.0,-1.179140191841602,0.0
186368,-1.3783261,-1.3783260745863342,0.0,0.0,-1.3783260745863342,0.0
188416,-1.5792062000000002,-1.5792062084912053,0.0,0.0,-1.5792062084912053,0.0
190464,-1.3492761,-1.3492762305400803,0.0,0.0,-1.3492762305400803,0.0
192512,-1.180288,-1.180288021016413,0.0,0.0,-1.180288021016413,0.0
194560,-1.2403093,-1.2403090554952936,0.0,0.0,-1.2403090554952936,0.0
196608,-0.8302272,-0.8302272968335537,0.0,0.0,-0.8302272968335537,0.0
198656,-1.0003518,-1.0003517680564868,0.0,0.0,-1.0003517680564868,0.0
200704,-1.3606386999999998,-1.3606387158396565,0.0,0.0,-1.3606387158396565,0.0
202752,-1.1452234000000001,-1.1452232729906673,0.0,0.0,-1.1452232729906673,0.0
204800,-0.8117996,-0.8117996491967816,0.0,0.0,-0.8117996491967816,0.0
206848,-0.9705639999999999,-0.970564155641106,0.0,0.0,-0.970564155641106,0.0
208896,-1.2901961,-1.2901959410837427,0.0,0.0,-1.2901959410837427,0.0
210944,-0.941677,-0.9416770365091051,0.0,0.0,-0.9416770365091051,0.0
212992,-0.8563571,-0.8563571844799973,0.0,0.0,-0.8563571844799973,0.0
215040,-1.3053204999999999,-1.3053203585238884,0.0,0.0,-1.3053203585238884,0.0
217088,-0.833316,-0.8333159514275484,0.0,0.0,-0.8333159514275484,0.0
219136,-1.0737674000000001,-1.0737673428103793,0.0,0.0,-1.0737673428103793,0.0
221184,-0.9679528000000002,-0.9679527894277833,0.0,0.0,-0.9679527894277833,0.0
223232,-0.6804478,-0.6804479270019064,0.0,0.0,-0.6804479270019064,0.0
225280,-0.9616188999999998,-0.9616189057002409,0.0,0.0,-0.9616189057002409,0.0
227328,-0.7786836,-0.7786835597567126,0.0,0.0,-0.7786835597567126,0.0
229376,-1.2486172,-1.248617335193587,0.0,0.0,-1.248617335193587,0.0
231424,-0.8064662,-0.8064662059040948,0.0,0.0,-0.8064662059040948,0.0
233472,-0.9760148,-0.9760148165841163,0.0,0.0,-0.9760148165841163,0.0
235520,-0.7405343999999998,-0.7405344835554755,0.0,0.0,-0.7405344835554755,0.0
237568,-0.6697076,-0.6697075594348344,0.0,0.0,-0.6697075594348344,0.0
239616,-1.0963261,-1.0963259756225128,0.0,0.0,-1.0963259756225128,0.0
241664,-0.9185002000000001,-0.9185002319126472,0.0,0.0,-0.9185002319126472,0.0
243712,-0.9242332999999998,-0.9242332331627663,0.0,0.0,-0.9242332331627663,0.0
245760,-0.9006506999999999,-0.9006507464487695,0.0,0.0,-0.9006507464487695,0.0
247808,-0.6202644,-0.6202644202225177,0.0,0.0,-0.6202644202225177,0.0
249856,-0.4794608,-0.4794607903919162,0.0,0.0,-0.4794607903919162,0.0
251904,-0.41101030000000005,-0.41101030484081064,0.0,0.0,-0.41101030484081064,0.0
253952,-0.8521036000000001,-0.8521033833091854,0.0,0.0,-0.8521033833091854,0.0
256000,-0.7730948,-0.7730949703016171,0.0,0.0,-0.7730949703016171,0.0
258048,-0.9951550000000001,-0.9951549109838286,0.0,0.0,-0.9951549109838286,0.0
260096,-0.765109,-0.7651088795693368,0.0,0.0,-0.7651088795693368,0.0
262144,-0.4113791,-0.4113789927526514,0.0,0.0,-0.4113789927526514,0.0
264192,-0.8337690999999999,-0.8337689788151316,0.0,0.0,-0.8337689788151316,0.0
266240,-0.461334,-0.4613337911584491,0.0,0.0,-0.4613337911584491,0.0
268288,-0.6333364999999999,-0.6333366975509216,0.0,0.0,-0.6333366975509216,0.0
270336,-0.5288012,-0.52880112038242,0.0,0.0,-0.52880112038242,0.0
272384,-0.8018087000000002,-0.8018086803707908,0.0,0.0,-0.8018086803707908,0.0
274432,-0.6048792,-0.6048792643396521,0.0,0.0,-0.6048792643396521,0.0
276480,-0.5047581999999999,-0.5047581211540428,0.0,0.0,-0.5047581211540428,0.0
278528,-0.5261163,-0.5261163122254573,0.0,0.0,-0.5261163122254573,0.0
280576,-0.6168334,-0.6168333039595078,0.0,0.0,-0.6168333039595078,0.0
282624,-0.39848300000000003,-0.3984829628458237,0.0,0.0,-0.3984829628458237,0.0
284672,-0.7237503999999999,-0.7237503996057004,0.0,0.0,-0.7237503996057004,0.0
286720,-0.4842207,-0.484220534973558,0.0,0.0,-0.484220534973558,0.0
288768,-0.3698338,-0.36983366468252143,0.0,0.0,-0.36983366468252143,0.0
290816,-0.5238545,-0.5238545514333082,0.0,0.0,-0.5238545514333082,0.0
