timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
2048,100.3800932,0,100.3800932,0,0,100.3800932
4096,97.749127,0,97.7491271,0,0,97.7491271
6144,101.2052524,0,101.2052523,0,0,101.2052523
8192,99.0972991,0,99.09729921,0,0,99.09729921
10240,97.950203,0,97.95020276,0,0,97.95020276
12288,99.1900459,0,99.19004587,0,0,99.19004587
14336,102.6029191,0,102.6029191,0,0,102.6029191
16384,99.2013238,0,99.20132381,0,0,99.20132381
18432,101.5686496,0,101.5686497,0,0,101.5686497
20480,100.9559957,0,100.9559956,0,0,100.9559956
22528,102.9109237,0,102.9109236,0,0,102.9109236
24576,103.7839194,0,103.7839194,0,0,103.7839194
26624,101.5950059,0,101.5950058,0,0,101.5950058
28672,100.272125,0,100.272125,0,0,100.272125
30720,100.2651062,0,100.2651062,0,0,100.2651062
32768,103.2771131,0,103.2771132,0,0,103.2771132
34816,101.541376,0,101.541376,0,0,101.541376
36864,101.1169628,0,101.1169628,0,0,101.1169628
38912,102.1271208,0,102.1271208,0,0,102.1271208
40960,100.2205789,0,100.2205789,0,0,100.2205789
43008,101.3566723,0,101.3566723,0,0,101.3566723
45056,103.7718929,0,103.7718931,0,0,103.7718931
47104,102.9359796,0,102.9359796,0,0,102.9359796
49152,102.3957765,0,102.3957764,0,0,102.3957764
51200,101.7960549,0,101.796055,0,0,101.796055
53248,102.602656,0,102.6026557,0,0,102.6026557
55296,102.9777495,0,102.9777495,0,0,102.9777495
57344,105.1291695,0,105.1291695,0,0,105.1291695
59392,102.2299652,0,102.2299652,0,0,102.2299652
61440,98.6257073,0,98.62570729,0,0,98.62570729
63488,102.8245803,0,102.8245804,0,0,102.8245804
65536,105.1765577,0,105.1765577,0,0,105.1765577
67584,102.5546826,0,102.5546825,0,0,102.5546825
69632,99.8682769,0,99.86827689,0,0,99.86827689
71680,102.3907056,0,102.3907058,0,0,102.3907058
73728,102.1317977,0,102.1317978,0,0,102.1317978
75776,102.1370477,0,102.1370476,0,0,102.1370476
77824,105.4097517,0,105.4097519,0,0,105.4097519
79872,101.3317492,0,101.3317493,0,0,101.3317493
