timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,33.233194100000006,7.970358222515243,25.262835761328013,0.0,6.165761744033661,99.81553226382604
4096,25.816954,3.903388121674758,21.913565969014638,0.0,6.433707195809063,99.28183753835887
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,112.16060129999998,87.52987083845923,24.630730593151682,0.0,-6.0050108191429175,99.62009637074775
4096,117.68621089999999,94.98660291611434,22.699607965298185,0.0,-6.354278049596999,98.38985455075482
6144,117.29024189999998,94.70767736980885,22.582564508594565,0.0,-7.0304341152793,100.28271948910417
8192,116.6602159,95.74113590275287,20.919080103169698,0.0,-7.297648519349828,99.78864299420889
10240,116.9393673,96.69450604808885,20.244861307232075,0.0,-5.369009301820662,97.54992084198041
12288,117.41146490000001,96.89242139259457,20.519043531521714,0.0,-5.121430504316092,99.17196163176467
14336,117.32475920000002,96.11411629015497,21.21064285691524,0.0,-7.114069736122062,101.41675587715211
16384,116.69004410000002,96.65000879341281,20.04003539845867,0.0,-6.177025449389218,98.66627888681225
18432,117.4825791,96.67091175194619,20.811667261830355,0.0,-6.324761574345255,101.09009172973293
20480,117.5502424,97.05163233600932,20.498610138420144,0.0,-5.319136196334405,100.81820530803186
22528,116.2665655,96.73014358995803,19.53642193314268,0.0,-6.285396072729719,100.88181471666428
24576,116.9666738,96.36464365221772,20.602030029826185,0.0,-7.54863512372666,102.7911915077585
26624,116.992523,96.72437848117968,20.268144588497194,0.0,-6.780044442025511,100.50670759951979
28672,118.40326560000001,96.8976109759262,21.505654648516945,0.0,-6.729356219291935,99.47725639145115
30720,118.0716325,96.81507457361816,21.256558003957196,0.0,-6.924707497616017,99.97494341060263
32768,118.70546039999999,96.37905540233292,22.326405007323345,0.0,-7.753487320259303,103.09833819964948
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,113.4666632,89.05907780256396,24.407585441051882,0.0,-5.929581831974811,99.62564463639407
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,113.27838200000001,88.86845129331772,24.40993070193437,0.0,-6.099649760858091,99.79871651414514
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,113.77992240000003,87.72361553589094,26.056306792211693,0.0,-6.103870376812004,99.83597543374225
4096,118.73565349999998,95.16197639467856,23.573677057859225,0.0,-6.603083070809935,98.72868787949798
6144,117.2615869,94.74386214918782,22.517724894560565,0.0,-7.31613288509962,100.65206224406646
8192,117.88873330000001,95.84670709184252,22.042026210788226,0.0,-7.219147353683208,100.36565072914827
10240,118.1355272,96.75728053238392,21.378246721360906,0.0,-5.351200506688847,98.09021227193246
12288,119.1210701,96.89669411021875,22.22437599942157,0.0,-5.049030596924638,100.49885983536606
14336,118.83261450000002,96.22907414330754,22.603540213815798,0.0,-6.891339315929315,101.42679197459677
16384,118.05863839999999,96.59538689928108,21.463251366599938,0.0,-6.397767440866185,99.58160821414825
18432,118.59246010000001,96.79335491578084,21.799105043350796,0.0,-6.081415842257862,100.34908924221357
20480,118.052649,97.01220772754776,21.04044117539623,0.0,-5.509760195077502,99.86561888670181
22528,116.91061960000002,96.63933888014057,20.27128070176557,0.0,-6.291267980058468,102.01502597075216
