timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,N_sum
2048,13.6348667,6.926521174,0,6.708345386,-0.518764799,0
4096,14.4758305,7.446224963,0,7.029605568,-0.230876391,0
6144,19.4773374,9.858234037,0,9.619103337,-0.406563497,0
8192,18.4705813,9.151290062,0,9.319291398,-1.057086188,0
10240,30.94235,15.62493368,0,15.31741632,-0.738113938,0
12288,30.0661484,15.16617613,0,14.89997223,-0.750876467,0
14336,11.2556954,5.795826591,0,5.45986862,-0.628534755,0
16384,15.7184765,8.049578773,0,7.668897623,-0.441509332,0
18432,17.2429368,8.695645533,0,8.547291297,-0.361994886,0
20480,21.1423632,10.63831031,0,10.50405286,-0.414674586,0
22528,19.9347223,10.23598598,0,9.698736405,-0.507540752,0
24576,18.2791469,9.474488713,0,8.804658127,-0.391442633,0
26624,19.9216293,10.13130679,0,9.79032246,-0.482114217,0
28672,44.60587,22.43722871,0,22.16864127,-1.148221922,0
30720,20.5917137,10.48813032,0,10.10358323,-0.967230775,0
32768,17.8732296,9.078258359,0,8.794971318,-0.510008546,0
34816,22.6312479,11.56094829,0,11.07029988,-0.414263433,0
36864,20.8190408,10.52110112,0,10.29793966,-0.256880676,0
38912,14.6032274,7.456882769,0,7.146344705,-0.324577217,0
40960,30.7279101,15.43864301,0,15.28926713,-0.663578811,0
43008,21.6588294,10.8744948,0,10.78433453,-1.161009317,0
45056,20.0023175,10.29053496,0,9.711782452,-0.419115861,0
47104,25.8555002,13.0551384,0,12.8003618,-0.595629065,0
49152,24.7891321,12.50014645,0,12.28898555,-0.81095545,0
51200,26.2325263,13.20834145,0,13.02418485,-0.951576592,0
53248,24.940675,12.57801473,0,12.36266047,-0.792705142,0
55296,25.4940451,12.95278169,0,12.5412634,-0.437432749,0
57344,23.8777247,12.04147476,0,11.83624981,-0.855549035,0
59392,21.7220194,10.9592799,0,10.76273947,-0.587953181,0
61440,27.5373409,13.86776125,0,13.66957964,-1.615766769,0
63488,33.1909625,16.51735362,0,16.67360888,-0.930834721,0
65536,26.4855834,13.1775942,0,13.30798923,-1.627524979,0
67584,38.9339497,19.64307615,0,19.29087355,-0.533487064,0
69632,32.4026941,16.43346471,0,15.96922939,-0.771862381,0
71680,15.2199072,7.826294892,0,7.393612381,-0.223153975,0
73728,30.3243573,15.22671743,0,15.09763979,-0.755474889,0
75776,40.1532978,19.96019252,0,20.19310537,-1.264789931,0
77824,17.9947148,9.262152139,0,8.732562767,-0.390895308,0
79872,48.5902545,24.01014676,0,24.5801076,-2.962667798,0
81920,27.6107997,13.93168669,0,13.67911302,-0.61930662,0
83968,22.53942,11.45447523,0,11.08494472,-0.677135276,0
86016,35.9398179,17.83582722,0,18.10399061,-1.210234216,0
88064,19.9186312,10.31707323,0,9.601558,-0.421933133,0
90112,26.1851143,13.21116356,0,12.97395067,-0.852180065,0
92160,31.6880264,15.91426835,0,15.77375799,-0.638365155,0
94208,45.1785871,22.49360317,0,22.68498378,-1.593023442,0
96256,17.1117904,8.695677107,0,8.416113255,-0.548548769,0
98304,38.0039784,19.01661642,0,18.98736209,-1.158659561,0
100352,21.7251113,10.97197743,0,10.753134,-1.030540339,0
102400,70.1594281,35.08458384,0,35.07484443,-1.286642837,0
104448,38.9869308,19.63468867,0,19.35224216,-1.27276174,0
106496,36.8173802,18.39081785,0,18.42656234,-0.871473258,0
108544,27.6248214,13.78364838,0,13.84117303,-1.108924715,0
110592,52.8948385,26.19778451,0,26.69705381,-2.503123894,0
