#{"t_start": 1620406492.6895304, "env_id": "mario_puzzle-v0"}
r,l,t
11.826701,6,22.743577
63.072233,28,92.375215
7.236098,3,101.391022
64.630985,29,172.150149
38.158497,16,217.819653
10.400423,5,230.854976
26.990198,11,260.166145
136.79799,61,428.685802
14.147948,6,444.264152
8.652817,4,453.706352
30.879838,14,482.714766
26.208719,12,515.922967
24.099864,11,546.741433
10.709454,5,559.320692
23.314443,10,586.069134
17.62838,8,603.307763
18.611715,8,622.066352
7.721863,4,631.964091
54.488324,24,698.497746
14.289329,6,718.016426
13.416782,6,735.803664
36.293066,16,781.969925
6.334528,3,792.302536
6.856951,3,798.966597
6.338097,3,805.905578
14.607719,6,824.566724
4.483823,2,832.123837
63.150423,28,909.211246
16.146398,7,929.083221
28.177184,12,959.112597
20.273932,9,982.540167
8.429812,4,992.838347
86.320252,38,1091.83223
4.618946,2,1100.159411
37.77865,16,1149.994715
45.926472,20,1206.992021
11.408589,5,1217.624483
6.001901,3,1223.663558
13.62205,6,1243.510893
52.29651,23,1296.846385
29.777599,13,1332.637415
7.162849,3,1342.421734
6.640613,3,1351.150654
18.414254,8,1372.363292
37.013823,16,1418.829993
9.444088,4,1431.63042
34.878258,15,1465.559335
5.106036,2,1471.103316
36.898588,16,1514.908541
9.026847,4,1525.856419
16.11498,7,1542.291298
14.498694,6,1560.68525
40.209422,18,1607.858427
18.507602,8,1624.018385
16.888489,7,1641.874851
6.086973,3,1648.214875
49.062887,21,1707.850399
23.598118,10,1732.946222
28.869624,13,1768.023381
37.772016,16,1814.869211
16.793297,7,1832.073079
34.476499,15,1878.687044
2.333551,1,1881.100965
1.173073,1,1883.8659
11.38133,5,1897.542244
16.58567,7,1919.622576
11.485012,5,1931.501401
52.004904,23,1992.805939
34.319786,15,2037.508332
33.266804,15,2078.735929
6.429931,3,2088.077002
58.23126,26,2169.457068
3.851825,2,2177.465209
29.914711,13,2211.138359
18.877708,8,2231.926484
44.306572,20,2287.41344
6.737656,3,2293.932896
98.538659,44,2414.84639
27.738041,12,2449.375149
30.223233,13,2482.158627
10.710234,5,2497.683434
8.619725,4,2507.897894
89.780064,40,2612.992192
33.950631,15,2660.714739
40.515923,18,2711.462019
58.624245,27,2782.903557
40.746731,19,2839.688129
9.673615,5,2852.892668
30.980023,14,2887.136778
11.927674,5,2900.312118
18.292324,8,2920.278855
8.485322,4,2928.311382
4.464075,2,2936.854115
2.461298,1,2940.907518
8.156205,4,2950.631325
5.456432,3,2957.351006
14.806851,7,2976.751356
37.171087,17,3026.051059
33.321335,15,3068.828921
22.53805,10,3092.010027
22.477779,10,3121.599404
26.02659,12,3152.737917
2.154949,1,3156.43748
38.385914,17,3201.656837
27.088385,12,3229.468575
38.665807,17,3273.458494
8.309502,4,3284.947945
15.015857,7,3302.310243
8.90457,4,3320.530536
49.427233,22,3382.110507
6.719471,3,3389.129172
33.126027,15,3426.348739
85.5272,39,3524.382331
6.719671,3,3529.295956
18.132157,8,3547.275981
31.829029,14,3585.640335
2.061507,1,3587.735183
33.415008,15,3632.447356
1.08335,1,3633.847562
49.579898,23,3688.18772
5.534398,3,3693.848629
13.430389,6,3710.733575
9.242715,4,3722.847047
35.250925,16,3760.733114
6.805836,3,3771.758036
6.512224,3,3779.73853
43.817084,20,3836.909173
1.982563,1,3841.275901
3.43041,2,3846.140384
3.687772,2,3851.069451
19.250879,9,3874.433299
33.430476,15,3917.638421
105.216237,48,4046.696831
72.824157,33,4130.988299
9.733421,5,4141.699342
30.929456,14,4180.328168
13.607391,6,4196.035119
24.728441,11,4226.590226
23.277296,10,4252.425342
2.474622,1,4254.9971
4.880683,2,4259.445746
6.77923,3,4267.439406
25.570816,12,4300.277433
4.211515,2,4305.51019
27.747974,13,4341.39375
32.937679,15,4380.416612
4.226361,2,4383.881357
25.015662,11,4409.864035
10.951351,5,4422.507591
55.767988,25,4489.036362
7.752699,4,4506.080081
23.483407,10,4534.423238
10.668429,5,4547.886374
35.87025,16,4591.720877
62.479126,28,4665.886073
3.411229,2,4669.575573
78.807199,36,4771.086938
1.849252,1,4772.264801
6.971788,3,4783.494478
34.015257,15,4819.786315
6.705256,3,4826.012024
17.782222,8,4844.723686
8.636214,4,4852.507264
68.853804,31,4934.695729
13.178264,6,4953.213839
4.575471,2,4960.389177
18.260975,8,4982.377668
2.106334,1,4983.635357
4.636515,2,4992.977796
85.176555,39,5097.775599
43.033199,19,5145.65889
113.918461,53,5289.835342
3.760546,2,5300.094957
5.964228,3,5308.38323
70.733451,32,5383.281729
48.65254,22,5447.483654
25.739039,12,5483.659544
6.317786,3,5490.151182
9.05648,4,5504.677197
42.914934,19,5560.105043
49.12451,22,5617.662167
35.565915,16,5663.357791
22.818067,10,5692.288314
77.281654,35,5790.655782
66.262898,30,5865.646489
22.808646,10,5889.329054
21.787352,10,5914.081873
27.643257,12,5941.558994
39.377822,18,5998.164303
11.574556,5,6014.137193
12.494491,5,6023.932422
47.157636,21,6078.229863
10.107047,5,6088.475563
26.592842,12,6118.315893
24.34311,11,6146.586255
1.285548,1,6148.297685
1.197858,1,6151.281611
6.434405,3,6159.078997
21.449856,9,6184.778268
2.227309,1,6189.170881
3.541446,2,6195.400941
54.866219,25,6262.011976
29.318535,13,6294.506818
2.100232,1,6295.77707
27.792232,12,6327.438516
8.78069,4,6338.158716
32.5913,15,6375.996541
20.880657,9,6394.445653
6.29528,3,6400.384579
51.241195,23,6468.556457
29.989112,14,6502.842663
5.750801,3,6515.080894
11.332168,5,6527.3017
62.347075,27,6595.765715
94.19406,42,6709.405704
61.784754,27,6787.796695
2.316321,1,6789.806664
19.839534,9,6811.513317
33.280336,14,6849.085648
15.521403,7,6869.745245
2.253653,1,6871.303023
2.090459,1,6874.402535
23.352941,11,6907.869292
8.609121,4,6919.491399
61.054148,28,6985.691209
2.367825,1,6988.472735
23.161827,10,7013.4636
15.625499,7,7027.984053
14.664234,7,7045.070373
1.525053,1,7047.931661
14.935717,7,7067.333099
57.167175,25,7120.913068
3.910278,2,7129.3994
6.850313,3,7134.71161
15.25386,7,7155.504176
27.117283,12,7185.40898
19.519753,9,7209.085774
54.618618,24,7269.516765
54.070414,24,7334.460278
4.216509,2,7338.35128
35.222015,15,7375.117184
1.275329,1,7377.379222
52.846159,24,7442.340029
8.084039,4,7451.976885
15.876251,7,7467.669747
11.130997,5,7479.436617
21.650814,10,7506.399372
1.162166,1,7508.011759
2.335521,1,7510.264349
9.435134,4,7520.771909
89.436067,40,7613.2894
9.587554,4,7619.851287
9.513767,4,7631.534942
47.125501,21,7691.628778
2.253214,1,7694.512129
37.705468,17,7746.81239
13.760999,6,7762.17869
8.554715,4,7774.869888
14.43408,7,7796.067873
10.73929,5,7804.623162
84.49666,38,7902.518229
1.624038,1,7904.348523
54.296204,24,7966.518954
2.406447,1,7968.176446
18.332546,8,7991.357927
5.968082,3,7996.836559
5.821871,3,8007.820847
38.063142,17,8053.309521
8.448548,4,8069.553275
42.63265,19,8114.949122
5.655913,3,8124.834535
38.44164,17,8165.751473
19.12682,9,8187.577379
19.06773,8,8206.921247
1.092071,1,8208.209899
13.0671,6,8224.581042
6.940893,3,8232.012402
7.041462,3,8238.167171
9.464913,4,8247.019588
25.799432,11,8274.016783
39.554099,18,8318.41801
52.992534,24,8378.70363
27.158691,12,8411.387733
31.333172,14,8446.213166
87.516834,40,8560.542697
45.742921,20,8611.721825
36.153877,16,8649.854787
30.993992,14,8692.734168
6.956793,3,8699.114537
34.029492,15,8742.14908
1.383175,1,8745.68658
28.764691,12,8776.709283
69.587542,31,8851.667331
30.542665,13,8887.786515
34.330799,15,8921.02536
81.867941,37,9007.795667
47.637918,21,9061.77455
34.82838,15,9106.308461
6.367558,3,9113.501357
43.313193,20,9158.101187
16.881799,7,9177.229735
1.70765,1,9178.373427
55.469474,25,9243.451839
42.241236,19,9299.88238
71.893498,32,9388.297947
2.335373,1,9392.961372
184.602191,84,9605.040972
44.039806,20,9653.39552
3.780731,2,9656.931406
104.948251,48,9781.473795
25.331423,11,9808.090805
1.156314,1,9811.64469
49.912985,22,9868.910061
