timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
2048,26.2268914,11.71744943,2.908117212,11.60132471,-0.338545844,13.96105432
4096,18.1616895,7.856081321,2.514963128,7.79064514,-0.446978189,11.74635053
6144,24.2121793,10.8329173,2.84196538,10.53729663,-0.448147068,13.38452374
8192,11.6591163,5.406887422,1.52077503,4.731453964,-0.244319927,7.319523943
10240,36.7034594,16.26936927,4.225095271,16.20899475,-0.561015819,19.3602931
12288,19.9863767,8.618085907,2.853431045,8.514859773,-0.781533985,13.72227102
14336,26.2644299,11.64189713,3.331852896,11.29067978,-0.896697346,17.6258235
16384,26.3123262,12.12030425,2.587983784,11.60403796,-0.209993309,13.60076445
18432,19.5493937,8.552967713,2.552983172,8.443442916,-0.666520427,11.66668126
20480,38.4949191,17.17861941,4.253216897,17.06308288,-1.489993014,21.84803244
22528,27.8679393,12.11547732,3.595720577,12.15674164,-1.383771426,15.79964697
24576,24.1181522,10.50159418,3.197319602,10.41923832,-1.041371885,14.45790938
26624,30.8160523,13.80873912,3.254884214,13.75242904,-0.896505658,17.12194366
28672,19.1405271,8.452742503,2.397995464,8.289789092,-0.453858728,11.94421558
30720,18.3462981,7.916361807,2.642386432,7.787549901,-1.308341812,12.14048997
32768,23.8464525,10.35737313,3.222017436,10.26706191,-0.986388049,15.37150203
34816,24.0595006,10.77850663,3.129001623,10.1519923,-0.341691389,14.07447033
36864,28.1973426,12.73438749,3.328339205,12.13461576,-0.414244427,15.02200152
38912,19.7416282,8.806031399,2.378153414,8.557443459,-0.717465749,11.158236
40960,15.2150599,6.654646653,1.935125504,6.625287532,-0.397962465,8.854932936
43008,56.0977036,24.59362178,6.557381055,24.94670077,-1.879652362,29.63053988
45056,22.2027415,9.576225896,3.266830841,9.359684682,-0.985495105,13.89488532
47104,26.9832197,11.58560893,3.79467803,11.60293255,-0.983692174,17.21858102
49152,35.9143019,15.85772485,4.138812168,15.91776478,-1.125373423,21.4298451
51200,15.5220687,6.993349761,2.096286473,6.43243245,-0.262260499,10.00039608
53248,27.8161571,12.23720055,3.463376322,12.11558023,-0.376744549,15.83092847
55296,19.911053,8.616162973,2.90466982,8.390220275,-0.803607928,13.46232237
57344,10.4407105,4.744459703,1.236028092,4.460222667,-0.141545274,6.689574804
59392,41.0059261,18.19410041,4.515330587,18.29649502,-1.580506099,23.34207287
61440,77.880317,34.94787394,7.689237126,35.24320581,-2.347405042,39.2621887
63488,26.9764762,11.9842083,3.098906236,11.89336166,-0.772152848,15.53637383
65536,24.3702186,10.66302667,3.111289913,10.59590213,-0.985472914,15.20281611
67584,46.0572054,20.57225851,5.11638564,20.36856131,-1.124889646,25.37037786
69632,28.0417412,12.43474877,3.518844438,12.08814799,-0.913965541,17.4306869
71680,39.3316757,18.00155964,3.792306157,17.5378097,-0.557077151,20.04772402
73728,33.4362375,14.69037149,3.955882049,14.789984,-1.280338289,19.75188769
75776,43.3045035,19.26487808,4.84019951,19.19942593,-1.060676043,22.76672354
77824,18.8688833,8.48484571,2.392467017,7.991570549,-0.343486297,11.09278815
79872,45.3252769,19.7713346,5.557514237,19.99642811,-2.084786845,27.37584847
81920,34.552301,15.33704394,3.924886727,15.29037045,-1.144876897,18.84990935
