timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,81.98385929999999,61.18783077459555,0.0,99.0,0.0,0.0
4096,85.3324451,62.15403221470895,0.0,99.0,0.0,0.0
6144,85.99437409999999,59.12910137354411,0.0,99.0,0.0,0.0
8192,84.674432,60.102757466498,0.0,99.0,0.0,0.0
10240,84.63531830000002,61.93965525107128,0.0,99.0,0.0,0.0
12288,85.080037,59.38207102556974,0.0,99.0,0.0,0.0
14336,85.6723003,59.72870524110939,0.0,99.0,0.0,0.0
16384,81.41392170000002,64.49099058454843,0.0,99.0,0.0,0.0
18432,82.56293600000001,62.42952201068367,0.0,99.0,0.0,0.0
20480,84.0581293,61.18344566055195,0.0,99.0,0.0,0.0
22528,86.029639,59.688862394753414,0.0,99.0,0.0,0.0
24576,85.8870778,57.32119748844443,0.0,99.0,0.0,0.0
26624,84.52416869999999,59.67406654290822,0.0,99.0,0.0,0.0
28672,85.26296149999999,60.9951050197177,0.0,99.0,0.0,0.0
30720,87.3832596,58.05930489025441,0.0,99.0,0.0,0.0
32768,88.193111,55.620013877092674,0.0,99.0,0.0,0.0
34816,87.2594024,57.10240125097126,0.0,99.0,0.0,0.0
36864,83.92101170000001,62.14839420116573,0.0,99.0,0.0,0.0
38912,85.714936,59.21766378604427,0.0,99.0,0.0,0.0
40960,85.03134179999999,60.038652363892844,0.0,99.0,0.0,0.0
43008,83.59852380000001,62.06304567764555,0.0,99.0,0.0,0.0
45056,86.74626680000001,57.899847913679366,0.0,99.0,0.0,0.0
47104,88.440032,56.65795446435775,0.0,99.0,0.0,0.0
49152,84.4552725,60.12201403301227,0.0,99.0,0.0,0.0
51200,86.56498959999999,58.89386657567915,0.0,99.0,0.0,0.0
53248,85.04601389999999,60.54042380715381,0.0,99.0,0.0,0.0
55296,87.3995051,58.61113974817662,0.0,99.0,0.0,0.0
57344,88.5947267,56.22193148004821,0.0,99.0,0.0,0.0
59392,84.339551,60.779928566698274,0.0,99.0,0.0,0.0
61440,84.55773570000001,62.70244632391685,0.0,99.0,0.0,0.0
63488,86.5467014,59.24697858815644,0.0,99.0,0.0,0.0
65536,86.35710830000001,59.807030289517954,0.0,99.0,0.0,0.0
67584,86.08843920000001,60.33662903019657,0.0,99.0,0.0,0.0
69632,86.0744218,59.25913292444746,0.0,99.0,0.0,0.0
71680,86.9531142,59.16234713327607,0.0,99.0,0.0,0.0
73728,89.79625620000002,55.97003570621738,0.0,99.0,0.0,0.0
75776,85.59701799999998,61.04828130828732,0.0,99.0,0.0,0.0
77824,87.6848426,57.95286994298847,0.0,99.0,0.0,0.0
79872,88.20762119999999,57.54014549766224,0.0,99.0,0.0,0.0
81920,89.49279440000001,56.0216063781971,0.0,99.0,0.0,0.0
83968,86.238423,58.62597974072163,0.0,99.0,0.0,0.0
86016,87.99410790000002,55.812777278590644,0.0,99.0,0.0,0.0
88064,88.81241159999999,55.54199374736286,0.0,99.0,0.0,0.0
90112,86.6820464,58.88803836245545,0.0,99.0,0.0,0.0
92160,88.74058380000001,56.558161700254985,0.0,99.0,0.0,0.0
94208,91.5424993,53.774829355647114,0.0,99.0,0.0,0.0
96256,86.8430696,58.177543418753906,0.0,99.0,0.0,0.0
98304,88.98211020000001,56.07300994902475,0.0,99.0,0.0,0.0
100352,88.80430299999999,55.39376675861357,0.0,99.0,0.0,0.0
102400,86.7550059,58.65049703956653,0.0,99.0,0.0,0.0
104448,86.15316219999998,58.15958311137551,0.0,99.0,0.0,0.0
106496,88.86067879999999,56.03777836821729,0.0,99.0,0.0,0.0
108544,86.9103579,59.25609553441175,0.0,99.0,0.0,0.0
110592,87.022583,57.9453676052791,0.0,99.0,0.0,0.0
112640,87.525428,58.03793618616494,0.0,99.0,0.0,0.0
