#{"t_start": 1621298921.1488235, "env_id": "mario_puzzle-v0"}
r,l,t
95.706872,99,78.281434
92.609743,99,148.132687
101.350771,99,236.295212
107.628012,99,577.294908
101.388005,99,879.065953
105.082511,99,1148.990793
87.300243,99,1439.088091
107.770761,99,1763.370179
101.837059,99,2066.711664
92.586473,99,2363.551434
92.157696,99,2657.840142
101.384217,99,2977.301333
96.374187,99,3302.495727
100.721328,99,3591.167299
94.856476,99,3883.987043
95.439865,99,4203.171112
109.334934,99,4503.694546
96.454607,99,4806.591947
102.322607,99,4981.946676
110.67406,99,5132.344536
104.524759,99,5306.035295
100.86607,99,5486.379464
94.125201,99,5658.741596
102.107195,99,5842.563213
101.657271,99,6012.173586
109.726613,99,6191.445914
99.791023,99,6363.537136
110.326767,99,6539.155855
99.510507,99,6703.232249
118.439574,99,6875.587205
103.498572,99,7043.225501
98.292529,99,7199.306852
110.289643,99,7375.352098
104.998805,99,7539.005348
99.141593,99,7717.551189
106.092691,99,7890.70551
106.209914,99,8050.909081
107.98224,99,8208.238145
106.319616,99,8383.508227
98.059627,99,8542.22782
104.558982,99,8714.114001
101.57008,99,8871.69482
97.194903,99,9037.752472
101.808034,99,9195.636001
106.705978,99,9358.843709
104.848439,99,9534.852906
98.02024,99,9694.21591
100.007536,99,9862.635227
110.196113,99,10038.68745
100.840053,99,10205.954971
115.984482,99,10379.491858
106.308842,99,10543.404405
100.759397,99,10710.79742
102.980808,99,10879.096845
103.581837,99,11042.41454
98.242427,99,11224.766931
94.061266,99,11394.33976
115.344211,99,11557.06611
101.373935,99,11722.42246
96.567723,99,11892.205782
104.512147,99,12055.21929
109.762596,99,12226.772479
104.694513,99,12399.088899
99.954975,99,12559.375304
99.255496,99,12729.682946
98.046863,99,12900.455677
109.938572,99,13067.971613
113.998467,99,13222.322028
103.155056,99,13388.51459
106.74801,99,13549.093745
106.443036,99,13713.084267
105.991226,99,13874.770859
103.919099,99,14044.958254
97.525611,99,14215.765389
99.212899,99,14389.014652
107.562049,99,14555.859548
109.879107,99,14732.724121
100.32786,99,14894.386472
103.624819,99,15049.466126
112.398583,99,15222.372476
