#{"t_start": 1620550490.3825805, "env_id": "mario_puzzle-v0"}
r,l,t
0.091236,1,8.640649
3.0,2,13.697465
9.973508,7,30.649527
20.511059,15,66.897814
11.344777,8,89.477463
3.637809,4,99.316781
7.551903,5,111.096971
33.454452,26,178.67616
2.479119,2,185.414895
0.365179,1,187.068593
4.405175,4,196.9066
15.577963,12,228.88264
7.668591,7,245.112713
12.399577,11,273.334608
2.16973,2,278.586388
7.679194,7,295.156084
12.139606,10,321.164981
3.972798,3,328.230043
16.613386,14,370.70508
5.312465,5,385.514564
6.519862,6,401.822373
14.148099,11,430.921252
1.523541,1,436.213794
8.853762,8,464.614858
29.367145,24,528.841839
12.943064,11,553.787321
24.921156,21,619.344474
4.984528,4,631.884476
28.342211,24,691.582766
20.605391,17,732.082545
0.06686,1,734.152729
11.262645,9,763.591811
10.49423,8,784.735505
2.616505,2,791.544462
3.524997,3,798.2941
2.468904,2,802.494006
1.991326,2,806.074884
19.07784,15,847.661954
2.677255,3,855.19333
12.205043,10,886.692943
7.838826,7,902.680272
8.260087,7,919.117777
5.072391,4,930.337304
4.53093,4,945.353586
2.93452,3,951.22465
2.887094,2,955.953043
21.378286,16,992.119336
1.307149,1,994.78901
12.971126,10,1020.504439
19.508255,15,1058.922096
13.71174,10,1086.998309
6.231258,5,1100.093195
1.896674,2,1104.691277
10.135581,9,1132.532382
3.763015,4,1145.91038
4.931086,4,1160.163651
12.739801,10,1188.792455
9.857384,8,1207.464479
11.26111,9,1227.91268
12.726754,10,1258.544739
17.766575,15,1302.952603
1.035653,1,1305.710552
14.185172,11,1333.13218
8.470523,5,1351.385764
7.392454,6,1368.973775
8.692926,7,1385.791694
16.124192,13,1422.870996
19.216541,15,1463.133209
9.035474,8,1485.001479
12.365204,9,1505.443514
1.161067,1,1508.50179
2.456239,2,1516.141174
5.309162,4,1525.056615
2.688384,3,1532.678647
33.795751,28,1604.870833
12.644904,10,1628.091394
7.544388,7,1647.481268
6.216704,5,1660.85982
25.500091,21,1720.157685
1.469699,1,1722.391522
14.251495,10,1748.148793
5.736472,5,1759.8074
0.155026,1,1761.701225
10.418146,9,1789.05713
14.382417,11,1816.910515
14.200722,10,1844.800792
5.805384,5,1860.250737
1.38206,1,1862.803898
16.226586,13,1902.986226
33.857983,27,1976.584986
14.759832,12,2005.868904
40.997189,34,2098.708557
13.253533,10,2127.69158
9.420898,8,2148.962681
13.884697,11,2178.076059
2.396104,2,2182.63382
1.804186,2,2185.287982
10.997075,9,2203.618749
7.293618,6,2220.415083
0.242881,1,2222.088432
6.920279,5,2236.260052
18.676287,15,2272.160083
5.413029,5,2282.449795
11.422904,9,2308.145518
3.024513,2,2312.451996
0.491903,1,2316.844776
18.819187,15,2356.932642
4.411994,4,2368.351032
0.558026,1,2370.312946
6.226745,5,2384.761001
10.551818,8,2407.090814
15.542946,13,2438.328781
19.05975,14,2479.82891
6.846618,5,2490.768348
6.325606,5,2506.691168
9.938455,8,2528.079422
2.612893,3,2542.649502
2.78333,3,2548.937247
12.862483,10,2573.338045
14.770654,12,2604.941022
0.361805,1,2609.098881
21.260204,16,2648.163106
5.54642,4,2659.177954
24.581075,19,2713.690707
2.369957,2,2717.228913
17.150469,13,2760.171405
28.396107,23,2820.59775
1.431871,2,2824.477868
2.864248,3,2829.554247
45.627811,37,2921.859383
21.887841,16,2963.011088
3.484518,3,2969.357887
18.846499,16,3007.426488
29.159388,25,3078.386701
5.600294,5,3092.579006
1.120757,1,3096.368972
1.043387,1,3098.845479
23.317276,19,3146.194113
2.595229,3,3151.197098
4.961153,5,3160.347286
8.776685,8,3181.176321
3.487499,3,3189.08559
18.518699,15,3225.958256
5.39531,5,3238.956338
40.787981,33,3337.222076
19.337072,15,3375.823183
4.397966,4,3384.744812
7.057707,6,3399.489313
3.280919,3,3406.70323
19.963455,17,3444.980477
5.628131,4,3453.319197
5.315691,4,3463.341379
28.340275,23,3519.563113
20.727934,16,3562.06108
13.180964,9,3585.402849
17.58366,15,3619.290477
3.64047,4,3630.161114
8.634243,8,3652.443089
15.472196,14,3693.351973
21.919842,19,3738.438802
15.506079,10,3768.321025
10.916687,9,3793.663795
16.669455,14,3833.195182
8.700012,8,3849.349094
6.919791,5,3863.719303
18.485854,15,3895.941563
0.060723,1,3897.408904
10.092017,8,3916.450287
13.952831,11,3942.981327
9.2892,8,3964.930339
12.086595,10,3989.257121
17.311629,14,4028.001626
5.678469,5,4040.34288
1.654438,2,4046.772269
4.54348,4,4060.202914
0.758637,1,4061.350434
63.897574,55,4203.307234
17.798259,15,4244.563975
2.590473,2,4250.076766
40.951072,36,4342.759328
5.102216,4,4353.255854
1.628211,2,4357.558074
3.368995,3,4369.936604
11.320429,10,4392.128143
17.040724,15,4430.291756
13.270415,11,4456.515143
15.033993,12,4486.18128
8.26107,7,4502.50759
10.001735,8,4524.581767
23.614146,20,4569.908334
30.682722,27,4639.192626
8.552877,6,4654.892622
14.174052,12,4685.386007
1.706197,2,4688.209619
1.417613,1,4690.293745
17.819142,15,4728.577236
7.898878,7,4742.830153
11.956924,11,4770.901234
11.192337,9,4794.895892
10.956924,9,4815.362936
0.390856,1,4820.587628
7.196397,7,4836.93611
4.525334,4,4846.137335
19.722432,17,4888.576911
9.232855,8,4908.710854
1.307217,2,4914.897221
33.43625,28,4990.339487
7.063981,6,5004.815211
